-165	3485
-161	6228
-159	10365
-158	140926
-157	535960
-156	70068
-155	43050
-152	6148
-151	18306
-150	5173
-149	291369
-147	42764
-135	8931
-134	31796
-131	7172
-124	88516
-123	648564
-122	8584001
-121	4886665
-120	1114967
-119	2458046
-118	9159771
-117	9165253
-116	1120410
-115	1479636
-114	639523
-113	184561
-112	2673877
-111	3075243
-110	842054
-109	79559
-108	281323
-107	106759
-106	1468731
-105	1211405
-104	2295309
-103	235384
-102	277162
-101	533622
-100	372064
-99	485123
-98	2160505
-97	5846248
-96	4458308
-95	4886821
-94	3085467
-93	3767305
-92	1764119
-91	1059409
-90	3958127
-89	1990456
-88	4240035
-87	7992806
-86	4161307
-85	2719111
-84	4601739
-83	4786820
-82	4545226
-81	6137049
-80	7477716
-79	1793196
-78	1809875
-77	4035405
-76	4196443
-75	3694353
-74	12657828
-73	4558858
-72	2255418
-71	5778482
-70	1973950
-69	161102
-68	124003
-67	168509
-66	1247304
-65	340831
