78	1848
77	2418
76	103
74	408
73	1120
72	1786
71	20665
70	36787
69	491644
68	489660
67	470655
66	373337
65	551526
64	1127584
63	1051543
62	969212
61	2771246
60	3610960
59	11363362
58	5270336
57	6272273
56	16501881
55	30831826
54	16198467
53	32151996
52	36018550
51	52896918
50	39564162
49	24810420
48	32728008
47	31465991
46	20712542
45	39368800
44	28643769
43	43624175
42	32462287
41	61702090
40	52769878
39	44509276
38	34878205
37	51936822
36	50225006
35	84785852
34	63813477
33	47622359
32	43564356
31	54755029
30	47891480
29	30160312
28	48321790
27	23136590
26	34582030
25	38788439
24	36065422
23	40440263
22	44774356
21	27206461
20	25474585
19	39941467
18	37708762
17	14952212
16	20478027
15	18739332
14	37025128
13	28988855
12	20904997
11	19555724
10	37329632
9	22505288
8	15848498
7	22975012
6	30972378
5	19521862
4	20144397
3	13800029
2	7026921
1	8949031
0	13160009
-1	10162296
-2	8629200
-3	11738993
-4	13801495
-5	9520174
-6	39312862
-7	18852584
-8	12655360
-9	4838613
-10	4059024
-11	3434623
-12	15458649
-13	3044336
-14	2868471
-15	7384605
-16	5780053
-17	6493165
-18	5173541
-19	9389253
-20	9210175
-21	7444841
-22	21940742
-23	27247428
-24	3741254
-25	12267157
-26	12038120
-27	7582521
-28	3552153
-29	9629207
-30	2898863
-31	5655286
-32	4407718
-33	18397176
-34	5535455
-35	1101650
-36	2199219
-37	4927443
-38	2282004
-39	511720
-40	402474
-41	863001
-42	352361
-43	519064
-44	36234
-45	310466
-46	64961
-49	45
-51	93234
-53	117432
-54	58045
